player_name,birthdate,turned_pro,weight_kg,height_cm,handedness,backhand,percentage_aces,percentage_df,percentage_1stwon,percentage_bpsaved,percentage_bpobtained,percentage_bpconverted
alvarez_d.,1980.03.06,0.0,0.0,0.0,,,,,,,,
auckland_j.,1980.04.01,1999.0,79.0,0.0,,,0.1564432980340513,0.04482065570321031,0.7571486928104575,0.7333333333333334,0.06885090218423551,0.2738095238095238
almeida_c.,1980.12.26,0.0,0.0,0.0,,,,,,,,
ancic_m.,1984.03.30,2001.0,82.0,196.0,Right-Handed,Two-Handed Backhand,0.11688887392867021,0.033977164572323436,0.7551406983794019,0.5922192490711693,0.08752632214164083,0.41215145593550906
acasuso_j.,1982.10.20,1999.0,86.0,191.0,Right-Handed,One-Handed Backhand,0.07256310532421849,0.03731541001142287,0.7253429219469567,0.5741987396398779,0.09066544667968782,0.41265891523903747
apostuefremov_a.,1979.06.19,0.0,0.0,0.0,,,,,,,,
abel_m.,1982.02.28,0.0,76.0,0.0,,,0.04548567339053253,0.04591068460784101,0.6953458306399483,0.5126488095238095,0.054374372856055,0.5117673992673992
ager_j.,1984.03.10,2003.0,80.0,196.0,,,0.033168859649122806,0.08292214912280702,0.4949494949494949,0.3352272727272727,0.12404092071611253,0.3611111111111111
alves_t.,1982.05.22,2000.0,75.0,178.0,Right-Handed,Two-Handed Backhand,0.03952474165746191,0.036727865318725454,0.6332708887235698,0.4765914208820783,0.067914906655908,0.39017438654535425
acuna_a.,1946.11.22,0.0,0.0,0.0,,,,,,,,
agazzi_a.,1982.07.23,0.0,0.0,0.0,,,,,,,,
apey_p.,,0.0,0.0,0.0,,,,,,,,
abbott_b.,,0.0,0.0,0.0,,,,,,,,
aguirre_e.,,0.0,0.0,0.0,,,,,,,,
aguilar_j.,1985.01.08,,68.0,178.0,Right-Handed,Two-Handed Backhand,0.042973202677891925,0.031159624026311415,0.6847421205640066,0.534327731092437,0.09102474019528475,0.4396428571428571
albertferrando_m.,1982.04.26,0.0,0.0,0.0,,,,,,,,
sungan_j.,1985.05.28,0.0,0.0,0.0,,,,,,,,
almagro_n.,1985.08.21,2003.0,86.0,183.0,Right-Handed,One-Handed Backhand,0.10647472299774205,0.03204365986761429,0.7516852708073313,0.5875306509735285,0.08869749709670684,0.413063492317565
acheson_j.,,0.0,0.0,0.0,,,,,,,,
anderson_r.,,0.0,0.0,0.0,,,,,,,,
amritraj_p.,1983.10.02,2003.0,75.0,188.0,,,0.05901520093472934,0.037832799647400474,0.6992312318068998,0.5847283179463111,0.0743893210544825,0.37014285714285705
alayli_k.,1983.03.24,0.0,0.0,0.0,,,0.05531070081397655,0.03835616438356165,0.6709486166007901,0.532608695652174,0.061560452650387135,0.2826086956521739
martinaranguren_j.,1983.10.07,0.0,0.0,0.0,,,,,,,,
alawadhi_o.,1982.01.16,,,,Right-Handed,Two-Handed Backhand,,,,,,
aljazzaf_m.,1984.04.20,0.0,0.0,0.0,,,,,,,,
andreev_i.,1983.07.14,2002.0,80.0,185.0,Right-Handed,Two-Handed Backhand,0.06134826260775229,0.03292892449500274,0.7070500338003519,0.5801857580186432,0.08294747820528106,0.41908669435679546
auradou_m.,1984.07.09,0.0,0.0,0.0,,,,,,,,
amritraj_s.,1984.03.28,0.0,0.0,0.0,,,,,,,,
alund_m.,1985.12.26,,80.0,183.0,Right-Handed,One-Handed Backhand,0.03773001634356073,0.02694709368185815,0.6560182784078964,0.6295982569202385,0.07323095978499844,0.37746689584924875
andrews_g.,,0.0,0.0,0.0,,,,,,,,
allgood_j.,,0.0,0.0,0.0,,,,,,,,
avoyer_s.,1948.04.28,0.0,0.0,0.0,,,,,,,,
abid_h.,1985.07.17,0.0,0.0,0.0,Left-Handed,Two-Handed Backhand,0.05484931506849315,0.03873972602739726,0.6681818181818182,0.525,0.05998173515981735,0.275
anao_h.,,0.0,0.0,0.0,,,,,,,,
ghareeb_a.,1986.03.16,0.0,0.0,0.0,,,0.04,0.0630188679245283,0.5746753246753247,0.45,0.058537750876075184,0.3541666666666667
alnabhani_k.,1982.09.02,0.0,0.0,0.0,,,,,,,,
andujar_p.,1986.01.23,2003.0,76.0,180.0,Right-Handed,Two-Handed Backhand,0.02212233963703207,0.040767993927998944,0.6445394397494896,0.5369965820776114,0.09517662603368288,0.42542506505074046
angelinos_t.,1984.05.29,0.0,0.0,0.0,,,0.057123287671232884,0.036849315068493156,0.6818181818181819,0.5625,0.06776255707762557,0.3125
abdulla_m.,1985.05.23,0.0,0.0,0.0,,,0.0,0.12244897959183673,0.6363636363636364,0.2,0.022222222222222223,0.0
arnaboldi_a.,1987.12.27,2006.0,72.0,180.0,Left-Handed,One-Handed Backhand,0.04322241207141605,0.034906679445471454,0.6489901275678752,0.5890824986978833,0.0823706330028965,0.31926598357079644
arevalo_r.,1986.07.04,0.0,0.0,0.0,,,0.055182418601432484,0.03130572917254125,0.6898275163753035,0.6286061674950564,0.08006019195802389,0.36203703703703705
elalaoui_a.,1986.02.21,,,,,,,,,,,
adams_b.,,0.0,0.0,0.0,,,,,,,,
mugurelanagnastopol_v.,1986.03.23,0.0,0.0,0.0,,,,,,,,
anbar_b.,,0.0,0.0,0.0,,,,,,,,
aubone_r.,,0.0,0.0,0.0,,,,,,,,
sutawibawa_a.,,0.0,0.0,0.0,,,,,,,,
alnabhani_m.,1985.09.01,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand,,,,,,
atas_o.,,0.0,0.0,0.0,,,,,,,,
atas_c.,,0.0,0.0,0.0,,,,,,,,
agafonov_a.,1986.02.23,0.0,0.0,0.0,,,,,,,,
alcaide_g.,1986.05.27,0.0,77.0,188.0,Right-Handed,Two-Handed Backhand,0.11224489795918367,0.061224489795918366,0.75,0.5714285714285714,0.03773584905660377,0.25
pabloamado_j.,1986.04.02,0.0,0.0,0.0,,,,,,,,
adams_j.,,0.0,0.0,0.0,,,,,,,,
anderson_k.,1986.05.18,2007.0,93.0,203.0,Right-Handed,Two-Handed Backhand,0.1578157028653014,0.036650424806701304,0.7722354933725211,0.6324624707194182,0.07235959984178443,0.3968708981670808
anikanov_i.,1988.03.15,0.0,0.0,0.0,,,,,,,,
almahmoud_a.,1988.06.06,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand,,,,,,
alekseenko_g.,1983.05.19,0.0,85.0,191.0,,,,,,,,
abdukhalikov_s.,1987.08.07,0.0,0.0,0.0,,,0.06091324200913242,0.033698630136986304,0.7045454545454546,0.625,0.08073059360730593,0.375
agostinelli_b.,1987.04.01,0.0,0.0,0.0,,,0.059932499503672826,0.036958507047845944,0.7077922077922079,0.6833333333333332,0.07604261796042618,0.31666666666666665
alekseenko_v.,1983.05.19,0.0,85.0,191.0,Right-Handed,Two-Handed Backhand,,,,,,
agniel_a.,1982.01.23,0.0,0.0,0.0,,,,,,,,
andersen_j.,1988.06.17,0.0,0.0,0.0,,,0.05333333333333334,0.04,0.6590909090909091,0.5,0.0547945205479452,0.25
abdrabuh_a.,1985.05.23,0.0,0.0,0.0,,,,,,,,
ast_p.,1988.08.12,0.0,0.0,0.0,,,,,,,,
abdal_h.,1989.11.26,0.0,0.0,0.0,,,,,,,,
yvesaubone_j.,1988.01.10,0.0,73.0,178.0,Right-Handed,One-Handed Backhand,,,,,,
altuna_t.,1989.01.30,,80.0,185.0,Right-Handed,Two-Handed Backhand,0.05333333333333334,0.04,0.6590909090909091,0.5,0.0547945205479452,0.25
arenasgualda_i.,1990.10.31,0.0,0.0,0.0,,,,,,,,
authom_m.,1987.03.29,0.0,0.0,0.0,,,0.04587453800819099,0.04592448306862451,0.7075710248401011,0.641025641025641,0.06806484817292846,0.4652777777777778
atkinson_i.,1988.10.02,0.0,0.0,0.0,,,,,,,,
astorga_m.,1991.06.19,0.0,74.0,0.0,Left-Handed,One-Handed Backhand,,,,,,
armstrong_m.,1986.04.16,0.0,0.0,0.0,,,,,,,,
alcortaolarra_g.,1989.06.16,0.0,0.0,0.0,,,,,,,,
andrii_b.,1989.06.30,0.0,0.0,0.0,,,,,,,,
albot_r.,1989.11.11,2008.0,69.0,175.0,Right-Handed,Two-Handed Backhand,0.03765630980916908,0.03528568932227813,0.6626683548291238,0.555544902933365,0.08792781497112681,0.4157494873149372
androic_t.,1991.12.28,2010.0,73.0,168.0,Right-Handed,Two-Handed Backhand,0.020634920634920638,0.04285714285714286,0.5378787878787878,0.4375,0.1033923941227312,0.05555555555555558
arevalo_m.,1990.10.17,2012.0,86.0,191.0,Right-Handed,Two-Handed Backhand,0.06047369431062942,0.03598419852310444,0.7084120024900378,0.6085339457290677,0.08920647815256935,0.4036770667198299
arsenov_d.,1989.06.09,0.0,70.0,183.0,,,,,,,,
almeida_m.,1992.06.29,0.0,0.0,0.0,,,,,,,,
andreozzi_g.,1991.08.05,2010.0,77.0,183.0,Right-Handed,Two-Handed Backhand,0.046605177561308914,0.05634375207869324,0.6784174237169877,0.5947948633610399,0.07262028012248778,0.40383089133089134
abbasjanahi_h.,1990.08.04,,,,,,,,,,,
ademovic_j.,1991.08.24,0.0,0.0,0.0,,,,,,,,
aboushalam_o.,,0.0,0.0,0.0,,,,,,,,
arguello_f.,1992.08.04,,77.0,178.0,Right-Handed,Two-Handed Backhand,0.028423732380877392,0.044448854822047724,0.6118096330927154,0.4229052197802197,0.058377998116462625,0.45186584249084244
aliev_v.,1993.09.03,0.0,0.0,0.0,,,,,,,,
antonescu_v.,1990.03.24,0.0,82.0,183.0,Right-Handed,Two-Handed Backhand,,,,,,
allare_m.,1989.03.19,0.0,0.0,0.0,,,,,,,,
assal_a.,1992.06.02,0.0,0.0,0.0,,,,,,,,
aglaib_h.,1990.03.10,0.0,0.0,0.0,,,,,,,,
antony_e.,1991.10.06,,,,,,,,,,,
anton_j.,1991.09.25,,,,Right-Handed,Two-Handed Backhand,,,,,,
assad_r.,1992.10.03,,,,,,,,,,,
almulla_h.,1992.08.16,,,,,,,,,,,
adnaoui_m.,1984.12.09,,78.0,185.0,Right-Handed,One-Handed Backhand,,,,,,
averfalk_k.,1992.04.07,,,,Right-Handed,Two-Handed Backhand,,,,,,
arneodo_r.,1992.08.04,,70.0,175.0,Right-Handed,Two-Handed Backhand,0.06107671861460199,0.02942019908137013,0.7327279891109678,0.7303030303030302,0.08209293205587297,0.4166666666666667
arvidsson_i.,1992.08.06,,79.0,188.0,Right-Handed,Two-Handed Backhand,0.06735810873810377,0.05602561324576713,0.6514673948228765,0.5543041290590309,0.06991038269933586,0.4154351395730706
artunedomartinavarro_a.,1993.09.14,2011.0,75.0,183.0,Right-Handed,Two-Handed Backhand,,,,,,
alcarazivorra_a.,1995.05.15,,85.0,191.0,Right-Handed,Two-Handed Backhand,,,,,,
alharib_a.,1995.01.24,,,,,,,,,,,
aguirre_o.,1986.03.12,,,,,,,,,,,
allouch_k.,1991.06.03,,,,,,,,,,,
adams_a.,1993.03.18,,,,,,,,,,,
stefanapostol_a.,1995.02.25,,74.0,,Right-Handed,Two-Handed Backhand,,,,,,
deedatabdulrazak_a.,1995.06.18,,,,,,,,,,,
ionutapostol_b.,1996.01.17,,,,,,,,,,,
affonso_r.,1994.02.09,,75.0,170.0,,,,,,,,
almutawa_j.,1994.05.27,,,,,,,,,,,
shannanzayid_m.,1995.04.14,,,,Right-Handed,Two-Handed Backhand,,,,,,
